Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
173Ta,0,3.14 h,5/2-,1.70(3),,,,NMR/ON,1991Ko25,NP A534 344 (91)
175Ta,0,10.5 h,7/2+,2.27(5),,,[181Ta],NMR/ON,1984Oh07,JPJa 53 2479 (84)
177Ta,0,56.6 h,7/2+,2.25(5),,,[181Ta],NMR/ON,1984Oh07,JPJa 53 2479 (84)
178Ta,0 + x,9.3 m,1+,2.740(12),,,[181Ta 482],NMR/ON,1987Ni05,JPJa 56 492 (87)
179Ta,0,1.82 y,7/2+,+2.289(9),,,[181Ta],LRS,1996Wa02,PR C53 611 (96)
180Ta,75,>1.2x10*15y,9-,+4.825(11),,,,LRS,1994Wa34,PR A50 4639 (94)
181Ta,0,stable,7/2+,+2.3705(7),,,,N,1973Er17/1960Be23,JCP 59 3911 (73)/PR 120 1812 (60)
182Ta,0,115 d,3-,3.02(3),,,[183Ta],NMR/ON,1980Al27,HFI 8 229 (80)
183Ta,0,5.1 d,7/2+,(+)2.36(3),,,[181Ta],NMR/ON,1984Ed01/1980Al27,NP A413 247 (84)/HFI 8 229 (80)
168W,199,213 ps,2+,+0.50(10),,,,IMPAD,1986Bi11,PL 178B 145 (86)
175W,235,216 ns,7/2+,-0.65(2),,,,TDPAD,2000Io03,PL B495 289 (00)
176W,3746,41 ns,14+,+6.7(2),,,,TDPAD,2000Io03,PL B495 289 (00)
179W,3348,750 ns,35/2-,,+3.9(10),R,[calc efg],LEMS,2001Ba04,PRL 86 604 (01)
180W,104,1.22 ns,2+,0.51(3),,,[182W 100],ME,1973Zi02,ZP 262 413 (73)
182W,100,1.37 ns,2+,0.52(2),,,[184W 111],ME,1968Pe06,PR 170 1066 (68)
183W,0,stable,1/2-,+0.11778476(9),,,[2H],N,1974Sa25,ZNat 29a 1763 (74)
184W,111,1.25 ns,2+,+0.578(14),,,,IPAC,1984Al06,ZP A316 87 (84)
185W,0,75.1 d,3/2-,+0.543(14),,,[187W],NMR/ON,2004OH16,Hyp Int 159 277 (2004)
186W,123,1.05 ns,2+,0.62(3),,,,TF,1991St04,NP A528 447 (91)
187W,0,23.9 h,3/2-,0.621(15),,,,NMR/ON,1987Oh10,HFI 36 219 (87)
179Re,0,19.7 m,(5/2)+,2.8(4),,,,NO/S,1992Bo39,HFI 75 307 (92)
180Re,0,2.4 m,(1)-,1.6(2),,,,NO/S,1992Bo39,HFI 75 307 (92)
181Re,0,19.9 h,5/2+,3.19(7),,,"[185,187Re]",NMR/ON,1981Ha22,NP A363 269 (81)
182Re,0,64.0 h,7+,2.84(6),,,"[185,187Re]",NMR/ON,1981Ha22,NP A363 269 (81)
183Re,0,70.0 d,5/2+,3.168(15),,,[186Re],NMR/ON,1987Oh10,HFI 36 219 (87)
184Re,0,38.0 d,3-,(+)2.53(5),,,"[185,187Re]",NMR/ON,1981Ha22,NP A363 269 (81)
185Re,0,stable,5/2+,+3.1871(3),,,[23Na],N,1951Al11,PR 82 105 (51)
186Re,0,90.6 h,1-,+1.739(6),,,,AB/D,1965Ar01,PR 138 B310 (65)
187Re,0,4 x 10*10 y,5/2+,+3.2197(3),,,[23Na],N,1951Al11,PR 82 105 (51)
188Re,0,16.9 h,1-,+1.788(5),,,,AB/D,1965Ar01,PR 138 B310 (65)
182Os,7049,150 ns,25(+),+10.6(2),,,,TDPAD,1989Al19,PL B228 463 (89)
183Os,0,13.0 h,9/2+,(-)0.794(14),,,,NMR/ON,1980Ha24,ZP A295 345 (80)
184Os,120,1.18 ns,2+,,-2.7(12),R,[188Os 155],R,2013StZZ,IAEA Rept INDC(NDS)-0650 (2013)
186Os,137,830 ps,2+,+0.56(2),,,,"ME, CEAD",1970Wa06/1967Gi02,ZP 230 80 (70)/NP A91 85 (67)
187Os,0,stable,1/2-,+0.06465189(6),,,[2H],N,1974Sa25,ZNat 29a 1763 (74)
188Os,155,710 ps,2+,+0.58(2),,,,"IMPAC, R",1985St05,NP A435 635 (85)
189Os,0,stable,3/2-,+0.659933(4),,,[1H],N,1968Sc03/1954Lo36,PL 26A 258 (68)/PR 95 291 (54)
190Os,187,366 ps,2+,+0.69(3),,,,TF,1992ST06,ZP A342 373 (92)
191Os,0,15.4 d,9/2-,+0.96(3),,,,NMR/ON(β),1996Oh03,PR C54 1129
192Os,206,289 ps,2+,+0.79(2),,,,"IMPAC, R",1985St05,NP A435 635 (85)
193Os,0,30.5 h,3/2-,0.730(2),,,,NMR/ON,1989Ed01,PR C40 2246 (89)
180Ir,0,1.5 m,unknown,2.2(2) [I=3],,,,NO/S,1992Bo39,HFI 75 307 (92)
182Ir,0,15 m,3+,+2.6(2),,,[Ir191],LS,2006VE10,Eur Phys J A30 489 (06)
183Ir,0,55 m,5/2-,+2.40(8),,,[Ir191],LS,2006VE10,Eur Phys J A30 489 (06)
184Ir,0,3.14 h,5-,0.696(5),,,,NMR-ON,1988Oh02,JP G14 365 (88)
185Ir,0,14.4 h,5/2-,2.605(13),,,,NMR/ON,1988Oh02,JP G14 365 (88)
186Ir,0,16.64 h,5+,3.88(5),,,,NO/S,1982Al11,JP G8 857 (82)
187Ir,0,10.5 h,3/2+,+0.17(1),,,[Ir191],LS,2006VE10,Eur Phys J A30 489 (06)
188Ir,0,40.5 h,1(-),0.302(10),,,[193Ir],"NMR/ON, NO/S",1985Ed02,PR C32 582 (85)
189Ir,0,13.1 d,3/2+,+0.147(7),,,[Ir191],LS,2006VE10,Eur Phys J A30 489 (06)
190Ir,0,11.8 d,(4)+,0.04(1),,,,NO/S,1983Al15,JP G9 1125 (83)
191Ir,0,stable,3/2+,+0.1507(6),,,,AB/D,1984Bu15,PL 140B 17 (84)
192Ir,0,74.2 d,4-,1.924(10),,,[193Ir],NMR/ON,1980Ha25,ZP A295 385 (80)
193Ir,0,stable,3/2+,+0.1637(6),,,,AB/D,1984Bu15,PL 140B 17 (84)
194Ir,0,19.4 h,1-,0.39(1),,,[193Ir],NMR/ON,1982Ha28,ZP A306 73 (82)
179Pt,0,21.2 s,1/2-,+0.43(3),,,[195Pt],LRIMS,1999Le52,PR C60 054310 (99)
180Pt,153,370 ps,2+,0.70(16),,,[184Pt 163 ],PDCO,2002Ro36,NIMPR 489 469 (2002)
181Pt,0,51 s,1/2-,+0.48(2),,,[195Pt],LRIMS,1999Le52,PR C60 054310 (99)
182Pt,155,-,2+,0.46(8),,,[184Pt 163 ],PDCO,2002Ro36,NIMPR 489 469 (2002)
183Pt,0,6.5 m,1/2-,+0.502(5),,,[195Pt],LRIMS,1999Le52,PR C60 054310 (99)
184Pt,163,376 ps,2+,+0.56(6),,,,IPAC,1996St12,PRL 76 2246 (96)
185Pt,0,70.9 m,9/2+,-0.723(11),,,[195Pt],LRIMS,1999Le52,PR C60 054310 (99)
186Pt,192,260 ps,2+,+0.54(6),,,,IPAC,1996St12,PRL 76 2246 (96)
187Pt,0,2.35 h,3/2-,0.408(8),,,,NMR/ON,1990Ed01,HFI 59 83 (90)
188Pt,266,64 ps,2+,+0.58(8),,,,IPAC,1996St12,PRL 76 2246 (96)
189Pt,0,10.9 h,3/2-,-0.422(7),,,[195Pt],LRIMS,2000SaZZ/1989Du01,IPNO-DR 00-04/PL 217 401 (89)
190Pt,296,60 ps,2+,+0.57(3),,,"[194,196Pt 2+]",TF,1995An15,NP A593 212 (95)
191Pt,0,2.9 d,3/2-,-0.501(5),,,[195Pt],LRIMS,1989Du01,PL 217 401 (89)
192Pt,317,43.7 ps,2+,+0.57(3),,,,TDPAC,1992Al21/1992Bo20,NIMPR A321 506 (92)/ZP A342 249 (92)
193Pt,0,50 y,1/2-,+0.603(8),,,[195Pt],LRIMS,1992Hi07,ZP A342 1 (92)
194Pt,328,41.8 ps,2+,+0.60(3),,,,TF,1995An15,NP A593 212 (95)
195Pt,0,stable,1/2-,+0.60952(6),,,[23Na],N,1951Pr02,PR 81 20 (51)
196Pt,356,34 ps,2+,+0.59(5),,,,TF,1991St04,NP A528 447 (91)
197Pt,0,18.3 h,1/2-,0.51(2),,,,AB,1976Fu06,JPCR 5 835 (76)
198Pt,407,22.3 ps,2+,+0.63(2),,,"[194Pt328,",TF,1995An15,NP A593 212 (95)
182Au,0,21 s,unknown,1.30(10) [I=2],,,,TR/OLNO,1992Ro21,HFI 75 457 (92)
183Au,0,42 s,5/2-,+1.97(2),,,,LRIMS,1988Kr18,ZP A331 521 (88)
184Au,0,21 s,5,+2.07(2),,,,LRIS,1997Le22,PRL 79 2213 (97)
185Au,0,4.2 m,5/2-,+2.17(2),,,,LRIMS,1989Wa11/1987Wa06,NP A493 224 (89)/PRL 58 1516 (87)
186Au,0,10.7 m,3-,-1.28(3),,,,LRIMS,1990Sa21,NP A512 241 (90)
187Au,0,8.4 m,1/2+,+0.535(15),,,,LRIMS,1989Wa11/1987Wa06,NP A493 224 (89)/PRL 58 1516 (87)
188Au,0,8.8 m,1-,-0.07(3),,,,LRIMS,1989Wa11/1987Wa06,NP A493 224 (89)/PRL 58 1516 (87)
189Au,0,28.7 m,1/2+,+0.494(14),,,,LRIMS,1989Wa11/1987Wa06,NP A493 224 (89)/PRL 58 1516 (87)
190Au,0,42.8 m,1-,-0.065(7),,,,LRIMS,1990Sa21,NP A512 241 (90)
191Au,0,3.18 h,3/2+,+0.1369(9),,,,LRIMS,1994Pa37,NP A580 173 (94)
192Au,0,5.0 h,1-,-0.0107(15),,,,LRIMS,1994Pa37,NP A580 173 (94)
193Au,0,17.65 h,3/2+,0.1396(6),,,,NMR/ON,1993Hi10,NP A562 205 (93)
194Au,0,39.5 h,1-,+0.0763(13),,,,LRIMS,1994Pa37,NP A580 173 (94)
195Au,0,183 d,3/2+,0.1487(6),,,,NMR/ON,1993Hi10,NP A562 205 (93)
196Au,0,6.18 d,2-,+0.580(15),,,,LRIMS,1990Sa21,NP A512 241 (90)
197Au,0,stable,3/2+,+0.145746(9),,,,AB/D,1967Da04,ZP A200 456 (67)
198Au,0,2.696 d,2-,+0.64(2),,,,LRIMS,1990Sa21,NP A512 241 (90)
199Au,0,3.14 d,3/2+,+0.261(2),,,,LRIMS,1990Sa21,NP A512 241 (90)
200Au,962,18.7 h,12-,5.90(9),,,,NMR/ON,1984Ha45,PR C30 1675 (84)
181Hg,0,3.6 s,1/2(-),+0.5071(7),,,,NMR/OP(β),1976Bo09,ZP A276 203 (76)
183Hg,0,8.8 s,1/2-,+0.524(5),,,,NMR/OP(β),1976Bo09,ZP A276 203 (76)
185Hg,0,55 s,1/2-,+0.509(4),,,,NMR/OP(β),1986Ul02,ZP A325 247 (86)
187Hg,0,2.4 m,13/2+,-1.044(11),,,[193Hg 141],CLS,1979Da06,PL 82B 199 (79)
188Hg,2724,135 ns,12+,-2.02(12),,,,TDPAD,1983Se20,ZP A313 289 (83)
189Hg,0,7.6 m,3/2-,-0.6086(8),,,,NMR/OP(β),1986Ul02,ZP A325 247 (86)
190Hg,2621,21 ns,12+,-2.5(2),,,,TDPAD,1980Hj01,PRL 45 878 (80)
191Hg,0,49 m,3/2-,-0.618(11),,,[201Hg],NMR/OP(β),1986Ul02,ZP A325 247 (86)
193Hg,0,3.80 h,3/2-,-0.6276(2),,,[199Hg],NMR/OP,1971Mo24,PR C4 620 (71)
194Hg,2424,2.9 ns,10+,g(avge) = - 0.24(4),,,,IPAD,1980Kr21,PL 97B 197 (80)
195Hg,0,9.9 h,1/2-,+0.5414749(14),,,[199Hg],NMR/OP,1973Re04,PR C7 2065 (73)
196Hg,1841,5.2 ns,7-,-0.21(12),,,,IPAD,2006LE06,NP A764 24 (2006)
197Hg,0,64.1 h,1/2-,+0.5273744(9) d,,,[199Hg],NMR/OP,1973Re04,PR C7 2065 (73)
198Hg,412,23 ps,2+,+0.76(6),,,[199Hg 158],TF,1995Br34,ZP A353 141 (95)
199Hg,0,stable,1/2-,+0.5058855(9),,,[1H],NMR/OP,1961Ca21,AnP 6 467 (61)
200Hg,368,46.6 ps,2+,+0.65(5),,,[199Hg 158],TF,1995Br34,ZP A353 141 (95)
201Hg,0,stable,3/2-,-0.5602257(14),,,[199Hg],NMR/OP,1973Re04,PR C7 2065 (73)
202Hg,440,27.3 ps,2+,+0.78(6),,,[199Hg 158],TF,1995Br34,ZP A353 141 (95)
203Hg,0,46.8 d,5/2-,+0.84895(13),,,[201Hg],NMR/OP(β),1970Ki05/1964Re03,PL 31B 567 (70)/PL 8 257 (64)
204Hg,437,40.2 ps,2+,+0.9(2),,,[198Hg 412],TF,1986Ko02,NP A448 123 (86)
205Hg,0,5.2 m,1/2-,+0.60089(10),,,[199Hg],NMR/OP(β),1975Ro10,ZP A272 369 (75)
206Hg,2102,2.15 μs,5-,+5.45(5),,,,TDPAD,1982Be38,PR C26 914 (82)
183Tl,0,6.9 s,(1/2+),1.62(4),,,[205Tl],ISLS,2013Ba41,PR C88 024315 (2013)
184Tl,0+y,-,(2-),0.3(1),,,[205Tl],ISLS,2013Ba41,PR C88 024315 (2013)
185Tl,0,19.5 s,(1/2+),1.61(4),,,[205Tl],ISLS,2013Ba41,PR C88 024315 (2013)
186Tl,374,2.9 s,-10,2.57(6),,,[205Tl],ISLS,2013Ba41,PR C88 024315 (2013)
187Tl,0,51 s,(1/2+),1.55(6),,,[205Tl],CFBLS,1993ScZW,IoPconf132 221 (93)
188Tl,0 + x,71 s,7+,+0.483(8),,,est efg,CFBLS,1992Me07,ZP A341  475 (92)
189Tl,281,1.4 m,9/2-,+3.76(2),,,[205Tl],RIS,2012Ba32,PR C86 014311 (12)
190Tl,0 + x,2.6 m,2-,+0.254(2),,,"[203,205Tl]",CFBLS,1992Me07,ZP A341  475 (92)
191Tl,0,2.2 m,1/2+,+1.588(4),,,"[203,205Tl]",CFBLS,1992Me07,ZP A341  475 (92)
192Tl,0 + x,9.6 m,2-,+0.200(3),,,"[203,205Tl]",CFBLS,1992Me07,ZP A341  475 (92)
193Tl,0,21.6 m,1/2+,+1.591(2),,,"[203,205Tl]",CFBLS,1987Bo44,PR C36 2560 (87)
194Tl,0,34 m,2-,+0.140(3),,,"[203,205Tl]",CFBLS,1992Me07,ZP A341 475 (92)
195Tl,0,1.16 h,1/2+,+1.58(4),,,[205Tl],O,1969Go21,PR 188 1897 (69)
196Tl,0,1.84 h,2-,+0.072(3),,,"[203,205Tl]",CFBLS,1992Me07,ZP A341 475 (92)
197Tl,0,2.84 h,1/2+,+1.58(2),,,[205Tl],O,1966Da15,JOSA 56 1604 (66)
198Tl,0,5.3 h,2-,0.00(1),,,[203Tl],AB,1976Ek03/1984Be40,HFI 1 437 (76)/PS 30 164 (84)
199Tl,0,7.4 h,1/2+,+1.60(2),,,[205Tl],O,1966Da15,JOSA 56 1604 (66)
200Tl,0,26.1 h,2-,0.04(1),,,[203Tl],AB,1976Ek03/1984Be40,HFI 1 437 (76)/PS 30 164 (84)
201Tl,0,73 h,1/2+,+1.605(2),,,"[203,205Tl]",CFBLS,1987Bo44,PR C36 2560 (87)
202Tl,0,12.2 d,2-,0.06(1),,,[203Tl],AB,1976Ek03/1984Be40,HFI 1 437 (76)/PS 30 164 (84)
203Tl,0,stable,1/2+,+1.62225787(12),,,[1H],N,1963Ba23/1950Pr51,RSI 34 238 (63)/PR 79 35 (50)
204Tl,0,3.78 y,2-,0.09(1),,,,AB,1976Ek03,HFI 1 437 (76)
205Tl,0,stable,1/2+,+1.63821461(12),,,[1H],N,1963Ba23/1950Pr51,RSI 34 238 (63)/PR 79 35 (50)
206Tl,1405,78 ns,(5)+,+4.27(6),,,,TDPAD,1976Ha44,PL 64B 273 (76)
207Tl,0,4.77 m,1/2+,+1.876(5),,,[205Tl],CFBLS,1985Ne06,PRL 55 1559 (85)
208Tl,0,3.05 m,5(+),+0.292(13),,,[205Tl],LRSRD,1992La23,PRL 68 1675 (92)
183Pb,0,0.53 s,3/2-,-1.158(5),,,[207Pb],LRIS,2009SE13,Eur Phys J A41 315 (09)
185Pb,0,6.3 s,3/2-,-1.141(5),,,[207Pb],LRIS,2009SE13,Eur Phys J A41 315 (09)
187Pb,0,18.3 s,13/2+,-1.210(5),,,[207Pb],LRIS,2009SE13,Eur Phys J A41 315 (09)
188Pb,2577,797 ns,8-,-0.30(6),,,TDPA,TDPAD,2010IO01,PR C81 024323 (10)
189Pb,0,51 s,3/2-,-1.081(9),,,[207Pb],LRIS,2009SE13,Eur J Phys A41 315 (09)
191Pb,138,2.18 m,13/2+,-1.172(7),,,[207Pb],CFBLS,1991Du07,ZP A341 39 (91)
192Pb,2581+d,1.07 μs,12+,-2.1(2),,,,TDPAD,2010KM01,Eur Phys J 45 153 (2010)
193Pb,100,5.8 m,13/2+,-1.150(7),,,[207Pb],CFBLS,1991Du07,ZP A341 39 (91)
194Pb,2407,18 ns,9-,-0.38(14),,,,TDPAD,2004VY01,PR C69 064318 (04)
195Pb,203,15.0 m,13/2+,-1.128(7),,,[207Pb],CFBLS,1991Du07,ZP A341 39 (91)
196Pb,1797,185 ns,5-,+0.490(15),,,,TDPAD,1985St16,ZP A322 83 (85)
197Pb,0,8 m,3/2-,-1.075(2),,,[207Pb],ABLFS,1986An06,NP A451 471 (86)
198Pb,1823,49 ns,5-,+0.38(3),,,,TDPAD,1985St16,ZP A322 83 (85)
199Pb,0,1.5 h,3/2-,-1.0742(12),,,[207Pb],ABLFS,1986An06,NP A451 471 (86)
200Pb,2154,44 ns,7-,-0.21(10),,,,TDPAD,1985St16,ZP A322 83 (85)
201Pb,0,9.33 h,5/2-,+0.6753(5),,,[207Pb],ABLFS,1986An06,NP A451 471 (86)
202Pb,1384,1.97 ns,4+,+0.008(16),,,,IPAC,1977Th02,ZP A280 371 (77)
