Nucleus,Ex,T1/2,I,μ(nm),Q(b),,[Ref. Std.],Method,NSR Keynumber,Journal Reference
24Al,426,131 ms,1+,2.99(9),,,,β-NMR,2007NI14,HFI 180 71 (07)
25Al,0,7.18 s,5/2+,3.6455(12),,,,β-NMR,1976Mi11,PR C14 376 (76)
26Al,0,7x10*5 y,5+,+2.804(4),,,[27Al],ABLS,1996Co04,JP G22 99 (96)
27Al,0,stable,5/2+,+3.6415069(7),,,[2H],N,1968Ep01,ZNat 23a 1413 (68)
28Al,0,2.24 m,3+,3.242(5),,,,β-NMR,1981Mi14,PL 106B 38 (81)
30Al,0,3.63 s,3+,3.010(7),,,,β-NMR,2005UE01,PL B615 186 (2005)
31Al,0,644 ms,(5/2+),+3.830(5),,,,β-NMR,2006HI18,PL B643 257 (06)
32Al,0,33 ms,1+,1.952(2),,,,β-NMR,2006HI18,PL B643 257 (06)
33Al,0,44 ms,(5/2+),+4.088(5),,,,β-NMR,2006HI18,PL B643 257 (06)
34Al,0,56 ms,4-,(+)2.156(16),,,,β-NMR,2008HI01,PL B658 203 (08)
27Si,0,4.1 s,5/2+,(-)0.8652(4) d,,,,β-NMR,1998MaZJ,ARO 49 (97)
28Si,1779,0.49 ps,2+,+1.1(2),,,,IMPAC,1975Eb01,NP A244 1 (75)
29Si,0,stable,1/2+,-0.55529(3),,,[2H],N,1953We51,PR 89 923 (53)
30Si,2235,0.25 ps,2+,+0.8(2),,,,"IMPAC, R",1978Za13,HFI 5 347 (78)
33Si,0,6.332 s,(3/2+),1.21(3),,,,"β-NMR, OP/RD",92MA52,HFI 74 223 (1992)
35Si,0,0.78 s,7/2-,(-) 1.638(4),,,,β-NMR,2007NE14,Eur Phys J (Sp Topics) 150 149 (07)
28P,0,270 ms,3+,0.312(3),,,,β-NMR,2010 MAZJ,7th China-Japan NP Symp 260 (10)
29P,0,4.1 s,1/2+,1.2346(3),,,,β-NMR,2009ZH53,Chin Phys C33 Supp 1 215 (09)
31P,0,stable,1/2+,+1.13160(3),,,[23Na],N,1954Wa37,ORNL 1775 (54)
32P,0,14.28 d,1+,-0.2524(3),,,,ENDOR,1957Fe32,PR 107 1462 (57)
31S,0,2.6 s,1/2+,0.48793(8),,,,β-NMR,1976Mi16,PR C14 2335 (76)
32S,2230,0.16 ps,2+,+0.9(2),,,,TF,2006SP01,PL B632 207 (2006)
33S,0,stable,3/2+,+0.6438212(14),,,[2H],N,1973Lu06/1951Dh01,ZNat 28a 1370 (73)/PR 83 845 (51)
34S,2128,0.32 ps,2+,+1.0(2),,,,IMPAC,1979Za01,NP A315 133 (79)
35S,0,87.4 d,3/2+,+1.00(4) or +1.07(4),,,,MA,1954Bu05,PR 93 193 (54)
38S,1292,3.4 ps,2+,+0.26(10),,,,TF,2006ST21,"PRL 96, 112503/PR C74 054307 (06)"
40S,904,14.6 ps,2+,-0.02(12),,,,TF,2006ST21,"PRL 96, 112503/PR C74 054307 (06)"
43S,320,415 ns,7/2-,1.110(14),,,,TDPAD,2009GA05,PRL 102 092501 (09)
32Cl,0,298 ms,1+,+1.114(6),,,,β-NMR,2000Ro30,PR C62 044312 (00)
33Cl,0,2.52 s,3/2+,+ 0.7549(3) d,,,,β-NMR,2004Ma98,NP A746 493c (04)
35Cl,0,stable,3/2+,+0.8218743(4),,,[2H],N,1972Bl07,ZNat 27a 72 (72)
