energy,configuration,term,J,gJ,linewidth
5.29×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (4P*<5/2>),"(7/2,5/2)6",6,1.13,
5.33×10⁴ c·h/cm,4f14.5d.6p?,3P1*,1,0.0,
5.4×10⁴ c·h/cm,,Ionization Limit,1,0.0,
5.44×10⁴ c·h/cm,,Ionization Limit,1,0.0,
5.47×10⁴ c·h/cm,,Ionization Limit,1,0.0,
5.47×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(3P*) (2P*<3/2>),Ionization Limit,5,0.0,
5.54×10⁴ c·h/cm,4f14.5d.6p?,1P1*,1,0.0,
5.74×10⁴ c·h/cm,4f13.(2F*<5/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>),Ionization Limit,5,1.11,
5.74×10⁴ c·h/cm,,Ionization Limit,6,1.16,
5.75×10⁴ c·h/cm,,Ionization Limit,5,1.13,
5.87×10⁴ c·h/cm,4f13.(2F*<7/2>) .5d.(2D).6s.6p.(1P*) (2F*<7/2>),Ionization Limit,4,1.14,
5.89×10⁴ c·h/cm,,Ionization Limit,5,1.09,
5.91×10⁴ c·h/cm,4f13.(2F*<5/2>) .5d.(2D).6s.6p.(3P*) (2D*<5/2>),Ionization Limit,4,0.0,
5.94×10⁴ c·h/cm,,Ionization Limit,2,0.0,
5.95×10⁴ c·h/cm,,Ionization Limit,1,0.0,
5.97×10⁴ c·h/cm,,Ionization Limit,1,0.0,
6.01×10⁴ c·h/cm,,Ionization Limit,5,0.0,
6.01×10⁴ c·h/cm,,Ionization Limit,1,0.0,
6.14×10⁴ c·h/cm,,Ionization Limit,5,0.0,
6.14×10⁴ c·h/cm,,Ionization Limit,1,0.0,
6.22×10⁴ c·h/cm,,Ionization Limit,1,0.0,
6.23×10⁴ c·h/cm,,Ionization Limit,5,0.0,
6.24×10⁴ c·h/cm,,Ionization Limit,5,1.1,
6.27×10⁴ c·h/cm,,Ionization Limit,6,0.0,
6.3×10⁴ c·h/cm,4f14.5d.7p?,3D1*,1,0.0,
6.36×10⁴ c·h/cm,4f14.5d.7p?,3P1*,1,0.0,
6.37×10⁴ c·h/cm,,Ionization Limit,5,0.0,
6.42×10⁴ c·h/cm,,Ionization Limit,2,1.02,
6.45×10⁴ c·h/cm,4f14.5d.7p?,1P1*,1,0.0,
6.73×10⁴ c·h/cm,,Ionization Limit,1,0.0,
6.78×10⁴ c·h/cm,,Ionization Limit,6,0.0,
6.88×10⁴ c·h/cm,,Ionization Limit,1,0.0,
6.99×10⁴ c·h/cm,,Ionization Limit,1,0.0,
7.19×10⁴ c·h/cm,Tm II (4f13.6s2 2F*<7/2>),Ionization Limit,0,0.0,
7.22×10⁴ c·h/cm,,Ionization Limit,2,0.0,
